"RESPID","GENDER","AGE","WORKING","REGION","MUSIC","LIST_OWN","LIST_BACK","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19"
36927,0,60,1,0,3,1,,49,50,49,50,32,33,32,0,74,50,50,71,52,71,9,7,72,49,26
3566,0,36,4,0,3,1,1,55,55,62,9,9,9,10,11,55,12,65,65,80,79,51,31,68,54,33
20054,0,52,9,1,1,1,0.5,11,50,9,8,45,10,30,29,8,50,94,51,74,66,27,46,73,8,31
41749,0,40,8,0,4,2,3,81,80,88,88,31,31,51,30,8,76,74,64,73,85,61,77,76,78,88
23108,0,16,3,2,4,3,6,76,79,78,73,71,68,73,67,31,56,13,82,79,68,71,,86,80,32
42754,1,20,5,1,4,5,,74,100,100,54,54,18,53,27,5,100,72,73,100,100,75,74,76,34,73
4596,0,58,11,2,1,1,2,31,31,37,78,58,11,82,13,70,52,71,50,34,25,10,14,49,29,24
40555,0,50,9,1,3,1,5,50,32,51,68,69,31,33,31,54,12,100,67,64,71,7,27,72,52,31
8673,0,45,,1,1,,3,9,46,11,10,10,52,70,10,51,50,72,49,13,11,13,8,48,,
5195,1,41,9,0,3,7,1,10,17,17,8,7,8,7,8,28,48,69,81,7,62,12,10,6,8,7
33301,0,21,3,0,3,2,0.5,68,68,69,32,32,37,51,51,5,31,7,30,70,69,32,45,50,72,96
30264,1,56,5,2,1,2,0,29,29,32,30,28,28,29,30,93,50,68,54,54,53,3,,4,5,6
18020,1,57,5,2,0,0.5,0.5,4,4,3,4,4,91,4,6,96,4,5,6,4,4,6,6,5,5,5
24241,0,31,5,2,3,1,1,33,50,53,49,32,51,49,67,29,50,64,54,57,57,53,,70,50,53
41557,0,20,3,2,4,2,5,78,70,76,47,42,51,53,53,1,85,53,51,50,49,69,61,91,59,100
2314,0,32,4,1,3,3,3,10,49,31,32,33,32,97,77,32,30,92,91,10,30,11,12,31,30,11
20646,1,,5,1,4,5,3,95,60,75,21,19,31,5,6,6,82,7,7,6,8,7,29,90,52,69
672,1,35,,2,3,0,7,32,52,53,53,29,29,13,13,61,72,80,80,80,51,30,12,31,,
23151,0,65,11,1,3,2,1,30,55,51,33,32,7,8,7,73,74,46,47,21,46,44,,47,28,29
47285,1,43,,1,1,0,0,51,27,19,19,56,8,11,18,97,59,29,33,8,23,5,17,50,,
1596,0,41,,2,3,1,2,69,50,51,70,51,30,10,12,51,72,72,72,70,73,51,51,88,,
3975,1,41,9,2,1,0.5,0.5,9,64,15,11,12,50,32,30,29,31,28,30,72,72,12,12,10,9,11
27163,1,45,9,1,3,2,3,59,67,67,52,28,14,13,15,35,50,76,77,56,75,49,60,48,54,66
33041,0,28,,,3,,3,62,69,55,51,49,28,29,47,62,49,74,72,43,55,46,44,55,,
13487,1,34,9,1,2,0.5,3,38,36,38,36,35,48,11,68,52,59,57,58,77,77,56,55,64,51,35
14286,0,46,,0,3,0,6,45,49,36,56,38,86,35,30,67,44,54,55,36,44,41,30,37,,
11495,0,52,9,2,3,1,5,31,50,31,9,29,41,6,2,28,3,63,50,49,58,33,28,62,30,7
14632,0,49,,2,1,,,17,18,30,14,13,30,53,53,100,36,48,49,49,36,23,12,35,,
24444,0,23,8,2,4,2,1,72,2,4,2,3,26,40,39,100,68,10,42,43,61,64,,21,49,33
40602,1,,9,1,1,8,16.5,14,73,48,12,11,98,73,8,10,51,76,74,52,77,14,13,14,12,13
8302,1,50,,2,3,1,2,50,58,56,56,37,38,29,14,38,39,65,64,41,49,29,28,58,,
25613,0,24,9,2,3,1,8,55,66,71,50,50,18,70,49,11,72,89,96,43,69,75,48,70,58,79
20661,0,21,9,1,1,0.5,1,77,92,56,56,33,32,68,53,33,54,71,51,79,81,65,49,90,72,72
20209,0,47,9,2,3,1,1,51,59,60,33,53,11,56,38,72,62,71,72,47,53,54,47,65,59,58
23372,0,20,3,1,4,1,1,27,69,71,33,41,95,29,29,24,32,66,31,49,65,36,,68,45,72
46258,1,46,,0,3,0,0,50,51,50,6,6,54,6,5,76,100,49,52,5,3,4,5,4,,
8247,1,52,,0,3,,,73,54,75,13,13,48,2,2,50,86,49,56,52,65,26,23,63,,
17726,0,18,3,0,4,5,5,84,82,82,86,81,36,74,84,75,83,82,78,82,80,83,85,80,86,80
18379,0,61,11,2,2,0.5,0.5,51,51,27,27,50,67,68,29,69,31,52,52,28,51,27,28,50,28,29
33999,0,57,10,2,3,0.5,2,38,51,31,30,70,47,46,28,71,42,50,66,27,28,27,29,42,26,26
8084,1,61,,0,1,,4,10,17,20,13,51,70,7,26,76,100,53,27,27,33,30,10,50,,
43228,0,40,9,2,3,1,2,29,72,45,53,18,14,48,16,28,54,72,64,55,61,31,58,48,37,38
38721,0,60,1,0,4,1,2,29,32,28,58,30,30,7,5,6,53,72,52,36,72,53,32,54,55,31
4676,1,22,8,1,4,2,16.5,96,47,67,53,51,33,31,67,23,83,29,3,65,98,97,55,72,50,51
910,0,56,,0,3,5,4,28,54,73,71,37,73,61,85,49,51,75,61,26,62,27,60,81,,
34259,0,30,9,1,3,16,0,91,77,56,57,31,12,11,11,35,54,54,56,34,93,51,33,72,55,57
14096,0,21,,1,4,3,2,90,91,90,23,14,10,33,51,21,70,65,98,53,69,60,45,68,,
10576,1,64,,2,3,,1,52,71,53,32,33,32,12,10,71,68,68,52,9,9,29,9,29,,
10852,1,33,,2,1,1,3,49,69,31,70,50,62,5,51,70,71,32,10,31,67,10,12,71,,
31731,1,60,9,0,3,1,0.5,93,91,91,51,31,51,8,9,32,80,97,93,73,75,53,,95,52,50
33566,1,22,3,1,3,3,3,89,84,88,12,11,16,15,32,30,81,45,54,58,71,69,10,33,69,73
33302,0,19,3,2,3,,0.5,13,57,58,29,30,52,32,11,12,35,10,12,36,53,53,11,12,33,33
28634,0,60,9,2,3,1,2,31,31,31,49,70,34,51,33,69,50,50,50,50,70,35,,68,49,32
43402,0,77,12,2,3,0.5,0.5,70,51,52,52,31,31,53,32,69,68,49,69,35,67,48,31,67,47,30
46768,1,52,,1,4,2,,67,83,85,7,9,8,9,9,8,86,31,31,49,49,58,50,74,,
21142,0,47,8,1,4,2,4,58,62,55,30,29,51,25,20,51,99,67,69,46,46,43,20,86,22,34
